Gunung_ID,Nama_Gunung,Ketinggian_MDPL,Lokasi_Kabupaten_Utama,Tingkat_Kesulitan_Pendakian,Cocok_Untuk_Pemula,Durasi_Pendakian_Hari_RataRata,Budget_Per_Orang_Rupiah_RataRata,Rating_Rata_Rata,Deskripsi_Lengkap_Gunung
1,Semeru,3676,Malang,Sulit,Tidak,3,100000,4.8,"Fitur utama objek wisata: Puncak Mahameru, Danau Ranu Kumbolo, Padang Lavender Oro-oro Ombo. Karakteristik jalur: Treknya panjang dan menantang. Fasilitas basecamp: Basecamp, Toilet, Warung, Porter. Akses transportasi: Angkutan umum ke Tumpang, lalu Jeep ke Ranupani. Pemandangan utama: Puncak Mahameru, Danau Ranu Kumbolo, Padang Lavender Oro-oro Ombo. Musim terbaik kunjungan: Kemarau. Keberadaan sumber air: Ada. Tingkat kesulitan pendakian: Sulit. Cocok untuk pemula: Tidak. Ketinggian: 3676 mdpl. Durasi pendakian rata-rata: 3 hari. Budget per orang rata-rata: 100000 rupiah. Rating rata-rata: 4.8."
2,Lawu,3265,Magetan,Sulit,Tidak,2,15000,4.5,"Fitur utama objek wisata: Puncak Ogal-agil, Situs Purbakala, Hutan Cemara. Karakteristik jalur: Memiliki jalur pendakian yang curam dan panjang, dikenal dengan peninggalan purbakala di sepanjang trek dan pemandangan sunrise di puncak. Fasilitas basecamp: Basecamp, Sumber Air Terbatas. Akses transportasi: Terminal Tawangmangu/Magetan, lanjut ojek/angkot ke basecamp. Pemandangan utama: Puncak Ogal-agil, Situs Purbakala, Hutan Cemara. Musim terbaik kunjungan: Kemarau. Keberadaan sumber air: Ada. Tingkat kesulitan pendakian: Sulit. Cocok untuk pemula: Tidak. Ketinggian: 3265 mdpl. Durasi pendakian rata-rata: 2 hari. Budget per orang rata-rata: 15000 rupiah. Rating rata-rata: 4.5."
3,Bromo,2329,Malang,Mudah,Ya,1,100000,4.9,"Fitur utama objek wisata: Kawah Belerang Aktif, Puncak Kembar. Karakteristik jalur: Bersebelahan dengan Arjuno. Dikenal dengan kawah belerangnya yang aktif dan pemandangan para penambang belerang tradisional. Fasilitas basecamp: Basecamp, Warung di Pos, Toilet. Akses transportasi: Jeep dari Cemoro Lawang/Sukapura/Tumpang. Pemandangan utama: Kawah Belerang Aktif, Puncak Kembar. Musim terbaik kunjungan: Kemarau. Keberadaan sumber air: Tidak. Tingkat kesulitan pendakian: Mudah. Cocok untuk pemula: Ya. Ketinggian: 2329 mdpl. Durasi pendakian rata-rata: 1 hari. Budget per orang rata-rata: 100000 rupiah. Rating rata-rata: 4.9."
4,Panderman,2045,Batu,Sedang,Ya,1,15000,3.8,"Fitur utama objek wisata: Kaldera Raksasa, Puncak Sejati Ekstrim. Karakteristik jalur: Memiliki kaldera terbesar di Pulau Jawa dan trek menuju puncak sejati yang memerlukan peralatan panjat tebing. Sangat ekstrim. Fasilitas basecamp: Basecamp, Wajib Pemandu, Porter. Akses transportasi: Mudah diakses dari Kota Batu, bisa menggunakan kendaraan pribadi atau angkutan lokal. Pemandangan utama: Kaldera Raksasa, Puncak Sejati Ekstrim. Musim terbaik kunjungan: Kemarau. Keberadaan sumber air: Tidak. Tingkat kesulitan pendakian: Sedang. Cocok untuk pemula: Tidak. Ketinggian: 2045 mdpl. Durasi pendakian rata-rata: 1 hari. Budget per orang rata-rata: 15000 rupiah. Rating rata-rata: 3.8."
5,Kawi,2551,Malang,Sulit,Tidak,2,10000,4,"Fitur utama objek wisata: Trek Terpanjang, Danau Taman Hidup, Padang Savana Cikasur. Karakteristik jalur: Memiliki trek terpanjang di Pulau Jawa. Melewati padang savana, danau, dan reruntuhan pura kuno. Memerlukan fisik dan logistik super. Fasilitas basecamp: Basecamp, Wajib Lapor, Sumber Air. Akses transportasi: Dari Malang atau Blitar, bisa menggunakan kendaraan pribadi atau angkutan umum menuju desa terakhir. Pemandangan utama: Trek Terpanjang, Danau Taman Hidup, Padang Savana Cikasur. Musim terbaik kunjungan: Kemarau. Keberadaan sumber air: Ada. Tingkat kesulitan pendakian: Sulit. Cocok untuk pemula: Tidak. Ketinggian: 2551 mdpl. Durasi pendakian rata-rata: 2 hari. Budget per orang rata-rata: 10000 rupiah. Rating rata-rata: 4.0."
6,Ijen,2386,Banyuwangi,Mudah,Tidak,1,30000,4.7,"Fitur utama objek wisata: Api Biru (Blue Fire), Danau Kawah Asam, Penambang Belerang. Karakteristik jalur: Gunung yang sarat dengan nuansa mistis dan sejarah. Terdapat warung legendaris di dekat puncak. Trek cukup jelas. Fasilitas basecamp: Basecamp, Warung, Toilet. Akses transportasi: Dari Banyuwangi, bisa menggunakan mobil pribadi/sewaan atau agen tur yang menyediakan transportasi ke Paltuding. Pemandangan utama: Api Biru (Blue Fire), Danau Kawah Asam, Penambang Belerang. Musim terbaik kunjungan: Kemarau. Keberadaan sumber air: Tidak. Tingkat kesulitan pendakian: Mudah. Cocok untuk pemula: Ya. Ketinggian: 2386 mdpl. Durasi pendakian rata-rata: 1 hari. Budget per orang rata-rata: 30000 rupiah. Rating rata-rata: 4.7."
7,Kelud,1731,Blitar,Mudah,Tidak,1,15000,4.2,"Fitur utama objek wisata: Puncak Pawitra, Situs Candi, Pemandangan Kota. Karakteristik jalur: Dikenal sebagai 'miniatur Semeru' atau gunung 'Pakuwuan'. Treknya relatif singkat namun terus menanjak, banyak situs purbakala. Fasilitas basecamp: Basecamp, Warung, Area Parkir Luas. Akses transportasi: Mudah dijangkau dengan kendaraan pribadi atau umum hingga area parkir. Pemandangan utama: Puncak Pawitra, Situs Candi, Pemandangan Kota. Musim terbaik kunjungan: Kemarau. Keberadaan sumber air: Ada. Tingkat kesulitan pendakian: Mudah. Cocok untuk pemula: Ya. Ketinggian: 1731 mdpl. Durasi pendakian rata-rata: 1 hari. Budget per orang rata-rata: 15000 rupiah. Rating rata-rata: 4.2."
8,Argopuro,3088,Bondowoso,Sulit,Tidak,4,37500,4.3,"Fitur utama objek wisata: Api Biru (Blue Fire), Danau Kawah Asam, Penambang Belerang. Karakteristik jalur: Trek landai dan lebar. Fasilitas basecamp: Basecamp, Toilet, Warung, Ojek. Akses transportasi: Dari Bondowoso, lanjut angkutan umum atau ojek ke pos registrasi. Pemandangan utama: Api Biru (Blue Fire), Danau Kawah Asam, Penambang Belerang. Musim terbaik kunjungan: Kemarau. Keberadaan sumber air: Ada. Tingkat kesulitan pendakian: Sulit. Cocok untuk pemula: Tidak. Ketinggian: 3088 mdpl. Durasi pendakian rata-rata: 4 hari. Budget per orang rata-rata: 37500 rupiah. Rating rata-rata: 4.3."
9,Arjuno,3339,Malang,Sulit,Tidak,3,10000,4.4,"Fitur utama objek wisata: Lautan Pasir, Kawah Aktif, Sunrise Pananjakan. Karakteristik jalur: Ikon pariwisata Jawa Timur. Mudah diakses, bisa dengan Jeep. Pemandangan lautan pasir dan sunrise dari Pananjakan sangat memukau. Fasilitas basecamp: Jeep, Warung, Toilet, Penginapan. Akses transportasi: Mudah diakses, bisa dengan Jeep dari basecamp yang terorganisir. Pemandangan utama: Lautan Pasir, Kawah Aktif, Sunrise Pananjakan. Musim terbaik kunjungan: Kemarau. Keberadaan sumber air: Ada (di beberapa pos). Tingkat kesulitan pendakian: Sulit. Cocok untuk pemula: Tidak. Ketinggian: 3339 mdpl. Durasi pendakian rata-rata: 3 hari. Budget per orang rata-rata: 10000 rupiah. Rating rata-rata: 4.4."
10,Baluran,1247,Situbondo,Mudah,Ya,1,20000,3.5,"Fitur utama objek wisata: Pemandangan Kota (Citylight), Hutan Pinus. Karakteristik jalur: Gunung yang ramah bagi pemula, terletak di kota Batu. Dari puncaknya terlihat pemandangan gemerlap lampu kota Batu dan Malang di malam hari. Fasilitas basecamp: Basecamp, Warung, Toilet. Akses transportasi: Mudah diakses dari Situbondo, dekat jalan raya utama menuju Taman Nasional Baluran. Pemandangan utama: Pemandangan Kota (Citylight), Hutan Pinus. Musim terbaik kunjungan: Kemarau. Keberadaan sumber air: Tidak. Tingkat kesulitan pendakian: Mudah. Cocok untuk pemula: Ya. Ketinggian: 1247 mdpl. Durasi pendakian rata-rata: 1 hari. Budget per orang rata-rata: 20000 rupiah. Rating rata-rata: 3.5."
